XAU-USDT-SWAP_buyprice_long_202605140259=4689.2	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140301=0.11333	-390->-389
DOGE-USDT-SWAP_buyprice_long_202605140302=0.11315	-388->-387
DOGE-USDT-SWAP_buyprice_long_202605140306=0.11282	-384->-383
DOGE-USDT-SWAP_buyprice_long_202605140309=0.11267	-383->-382
DOGE-USDT-SWAP_buyprice_long_202605140317=0.11258	-382->-381
XAU-USDT-SWAP_buyprice_long_202605140319=4693.1	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140324=0.11248	-381->-380
DOGE-USDT-SWAP_buyprice_long_202605140335=0.11287	-385->-384
DOGE-USDT-SWAP_buyprice_long_202605140338=0.11297	-386->-385
DOGE-USDT-SWAP_buyprice_long_202605140338=0.11306	-387->-386
DOGE-USDT-SWAP_buyprice_long_202605140338=0.11305	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140351=0.11258	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140411=0.11327	-389->-388
DOGE-USDT-SWAP_buyprice_long_202605140423=0.11304	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140511=0.11241	-380->-379
DOGE-USDT-SWAP_buyprice_long_202605140537=0.11259	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140553=0.11299	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140623=0.11257	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140632=0.11269	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140646=0.11308	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140652=0.11344	-391->-390
DOGE-USDT-SWAP_buyprice_long_202605140655=0.11357	-392->-391
DOGE-USDT-SWAP_buyprice_long_202605140658=0.11362	-393->-392
DOGE-USDT-SWAP_buyprice_long_202605140701=0.11379	-394->-393
DOGE-USDT-SWAP_buyprice_long_202605140701=0.11382	-395->-394
DOGE-USDT-SWAP_buyprice_long_202605140730=0.11334	-390->-389
DOGE-USDT-SWAP_buyprice_long_202605140736=0.11324	-389->-388
DOGE-USDT-SWAP_buyprice_long_202605140741=0.11316	-388->-387
DOGE-USDT-SWAP_buyprice_long_202605140747=0.11296	-386->-385
DOGE-USDT-SWAP_buyprice_long_202605140757=0.11268	-383->-382
DOGE-USDT-SWAP_buyprice_long_202605140802=0.11258	-382->-381
DOGE-USDT-SWAP_buyprice_long_202605140803=0.11292	-381->-380
DOGE-USDT-SWAP_buyprice_long_202605140804=0.11296	-384->-383
DOGE-USDT-SWAP_buyprice_long_202605140804=0.11292	-385->-384
DOGE-USDT-SWAP_buyprice_long_202605140804=0.11307	-387->-386
DOGE-USDT-SWAP_buyprice_long_202605140804=0.11307	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140808=0.11364	-393->-392
DOGE-USDT-SWAP_buyprice_long_202605140808=0.1136	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140809=0.11353	-392->-391
DOGE-USDT-SWAP_buyprice_long_202605140811=0.11374	-394->-393
DOGE-USDT-SWAP_buyprice_long_202605140812=0.11383	-395->-394
DOGE-USDT-SWAP_buyprice_long_202605140813=0.1139	-396->-395
DOGE-USDT-SWAP_buyprice_long_202605140814=0.11408	-397->-396
XAU-USDT-SWAP_buyprice_long_202605140814=4700.7	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140814=0.11412	-398->-397
DOGE-USDT-SWAP_buyprice_long_202605140814=0.1142	-399->-398
DOGE-USDT-SWAP_buyprice_long_202605140815=0.1143	-400->-399
DOGE-USDT-SWAP_buyprice_long_202605140816=0.1144	-401->-400
XAU-USDT-SWAP_buyprice_long_202605140817=4706.3	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140817=0.11443	-402->-401
DOGE-USDT-SWAP_buyprice_long_202605140821=0.11366	-393->-392
DOGE-USDT-SWAP_buyprice_long_202605140822=0.1138	-394->-393
DOGE-USDT-SWAP_buyprice_long_202605140822=0.11384	-395->-394
DOGE-USDT-SWAP_buyprice_long_202605140824=0.11401	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140824=0.11401	-396->-395
DOGE-USDT-SWAP_buyprice_long_202605140824=0.11401	-397->-396
DOGE-USDT-SWAP_buyprice_long_202605140824=0.11414	-398->-397
DOGE-USDT-SWAP_buyprice_long_202605140825=0.11446	-401->-400
DOGE-USDT-SWAP_buyprice_long_202605140825=0.11449	-402->-401
DOGE-USDT-SWAP_buyprice_long_202605140829=0.11484	-403->-402
DOGE-USDT-SWAP_buyprice_long_202605140829=0.11482	-404->-403
DOGE-USDT-SWAP_buyprice_long_202605140829=0.11478	-405->-404
DOGE-USDT-SWAP_buyprice_long_202605140829=0.11498	-406->-405
DOGE-USDT-SWAP_buyprice_long_202605140829=0.11496	-407->-406
DOGE-USDT-SWAP_buyprice_long_202605140830=0.11518	-408->-407
DOGE-USDT-SWAP_buyprice_long_202605140830=0.11528	-409->-408
DOGE-USDT-SWAP_buyprice_long_202605140830=0.11526	-410->-409
DOGE-USDT-SWAP_buyprice_long_202605140830=0.11534	-411->-410
DOGE-USDT-SWAP_buyprice_long_202605140831=0.115	-407->-406
DOGE-USDT-SWAP_buyprice_long_202605140833=0.11486	-406->-405
DOGE-USDT-SWAP_buyprice_long_202605140838=0.11477	-405->-404
DOGE-USDT-SWAP_buyprice_long_202605140839=0.11467	-404->-403
DOGE-USDT-SWAP_buyprice_long_202605140848=0.1144	-401->-400
DOGE-USDT-SWAP_buyprice_long_202605140848=0.11452	-402->-401
XAU-USDT-SWAP_buyprice_long_202605140853=4703.5	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140854=0.11429	-400->-399
DOGE-USDT-SWAP_buyprice_long_202605140911=0.11446	-403->-402
XAU-USDT-SWAP_buyprice_long_202605140929=4698.3	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140930=0.11415	-398->-397
DOGE-USDT-SWAP_buyprice_long_202605140932=0.1144	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140932=0.11442	-396->-395
DOGE-USDT-SWAP_buyprice_long_202605140932=0.11436	-397->-396
DOGE-USDT-SWAP_buyprice_long_202605140932=0.1144	-399->-398
DOGE-USDT-SWAP_buyprice_long_202605140948=0.11479	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605141003=4697.4	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141004=0.11442	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141021=0.11443	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605141035=4701.4	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141039=0.11384	-395->-394
DOGE-USDT-SWAP_buyprice_long_202605141048=0.11363	-393->-392
DOGE-USDT-SWAP_buyprice_long_202605141051=0.11345	-391->-390
DOGE-USDT-SWAP_buyprice_long_202605141053=0.11335	-390->-389
DOGE-USDT-SWAP_buyprice_long_202605141055=0.11352	-392->-391
DOGE-USDT-SWAP_buyprice_long_202605141101=0.11372	-394->-393
DOGE-USDT-SWAP_buyprice_long_202605141108=0.11299	-386->-385
DOGE-USDT-SWAP_buyprice_long_202605141108=0.11305	-387->-386
XAU-USDT-SWAP_buyprice_long_202605141116=4691.3	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141117=0.1129	-385->-384
DOGE-USDT-SWAP_buyprice_long_202605141121=0.1127	-383->-382
DOGE-USDT-SWAP_buyprice_long_202605141121=0.11277	-384->-383
DOGE-USDT-SWAP_buyprice_long_202605141127=0.11316	-388->-387
DOGE-USDT-SWAP_buyprice_long_202605141127=0.11329	-389->-388
DOGE-USDT-SWAP_buyprice_long_202605141128=0.11335	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141132=0.11351	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141139=0.11312	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141152=0.11249	-381->-380
DOGE-USDT-SWAP_buyprice_long_202605141152=0.11259	-382->-381
DOGE-USDT-SWAP_buyprice_long_202605141158=0.11222	-378->-377
